"","Cluster"
"C1_Cell73","observed"
"C1_Cell74","observed"
"C1_Cell75","observed"
"C1_Cell76","observed"
"C1_Cell77","observed"
"C1_Cell78","observed"
"C1_Cell79","observed"
"C1_Cell80","observed"
"C1_Cell81","observed"
"C1_Cell82","observed"
"C1_Cell83","observed"
"C1_Cell84","observed"
"C1_Cell85","observed"
"C1_Cell86","observed"
"C1_Cell87","observed"
"C1_Cell88","observed"
"C1_Cell89","observed"
"C1_Cell90","observed"
"C1_Cell91","observed"
"C1_Cell92","observed"
"C1_Cell93","observed"
"C1_Cell94","observed"
"C1_Cell95","observed"
"C1_Cell96","observed"
"C1_Cell97","observed"
"C1_Cell98","observed"
"C1_Cell99","observed"
"C1_Cell100","observed"
"C1_Cell101","observed"
"C1_Cell102","observed"
"C1_Cell103","observed"
"C1_Cell104","observed"
"C1_Cell105","observed"
"C1_Cell106","observed"
"C1_Cell107","observed"
"C1_Cell108","observed"
"C1_Cell109","observed"
"C1_Cell110","observed"
"C1_Cell111","observed"
"C1_Cell112","observed"
"C1_Cell113","observed"
"C1_Cell114","observed"
"C1_Cell115","observed"
"C1_Cell116","observed"
"C1_Cell117","observed"
"C1_Cell118","observed"
"C1_Cell119","observed"
"C1_Cell120","observed"
"C1_Cell121","observed"
"C1_Cell122","observed"
"C1_Cell123","observed"
"C1_Cell124","observed"
"C1_Cell125","observed"
"C1_Cell126","observed"
"C1_Cell127","observed"
"C1_Cell128","observed"
"C1_Cell129","observed"
"C1_Cell130","observed"
"C1_Cell131","observed"
"C1_Cell132","observed"
"C1_Cell133","observed"
"C1_Cell134","observed"
"C1_Cell135","observed"
"C1_Cell136","observed"
"C1_Cell137","observed"
"C1_Cell138","observed"
"C1_Cell139","observed"
"C1_Cell140","observed"
"C1_Cell141","observed"
"C1_Cell142","observed"
"C1_Cell143","observed"
"C1_Cell144","observed"
"C1_Cell145","observed"
"C1_Cell146","observed"
"C1_Cell147","observed"
"C1_Cell148","observed"
"C1_Cell149","observed"
"C1_Cell150","observed"
"C1_Cell151","observed"
"C1_Cell152","observed"
"C1_Cell153","observed"
"C1_Cell154","observed"
"C1_Cell155","observed"
"C1_Cell156","observed"
"C1_Cell157","observed"
"C1_Cell158","observed"
"C1_Cell159","observed"
"C1_Cell160","observed"
"C1_Cell161","observed"
"C1_Cell162","observed"
"C1_Cell163","observed"
"C1_Cell164","observed"
"C1_Cell165","observed"
"C1_Cell166","observed"
"C1_Cell167","observed"
"C1_Cell168","observed"
"C1_Cell169","observed"
"C1_Cell170","observed"
"C1_Cell171","observed"
"C1_Cell172","observed"
"C1_Cell173","observed"
"C1_Cell174","observed"
"C1_Cell175","observed"
"C1_Cell176","observed"
"C1_Cell177","observed"
"C1_Cell178","observed"
"C1_Cell179","observed"
"C1_Cell180","observed"
"C1_Cell181","observed"
"C1_Cell182","observed"
"C1_Cell183","observed"
"C1_Cell184","observed"
"C1_Cell185","observed"
"C1_Cell186","observed"
"C1_Cell187","observed"
"C1_Cell188","observed"
"C1_Cell189","observed"
"C1_Cell190","observed"
"C1_Cell191","observed"
"C1_Cell192","observed"
"C1_Cell193","observed"
"C1_Cell194","observed"
"C1_Cell195","observed"
"C1_Cell196","observed"
"C1_Cell197","observed"
"C1_Cell198","observed"
"C1_Cell199","observed"
"C1_Cell200","observed"
"C1_Cell201","observed"
"C1_Cell202","observed"
"C1_Cell203","observed"
"C1_Cell204","observed"
"C1_Cell205","observed"
"C1_Cell206","observed"
"C1_Cell207","observed"
"C1_Cell208","observed"
"C1_Cell209","observed"
"C1_Cell210","observed"
"C1_Cell211","observed"
"C1_Cell212","observed"
"C1_Cell213","observed"
"C1_Cell214","observed"
"C1_Cell215","observed"
"C1_Cell216","observed"
"C1_Cell217","observed"
"C1_Cell218","observed"
"C1_Cell219","observed"
"C1_Cell220","observed"
"C1_Cell221","observed"
"C1_Cell222","observed"
"C1_Cell223","observed"
"C1_Cell224","observed"
"C1_Cell225","observed"
"C1_Cell226","observed"
"C1_Cell227","observed"
"C1_Cell228","observed"
"C1_Cell229","observed"
"C1_Cell230","observed"
"C1_Cell231","observed"
"C1_Cell232","observed"
"C1_Cell233","observed"
"C1_Cell234","observed"
"C1_Cell235","observed"
"C1_Cell236","observed"
"C1_Cell237","observed"
"C1_Cell238","observed"
"C1_Cell239","observed"
"C1_Cell240","observed"
"C1_Cell241","observed"
"C1_Cell242","observed"
"C1_Cell243","observed"
"C1_Cell244","observed"
"C1_Cell245","observed"
"C1_Cell246","observed"
"C1_Cell247","observed"
"C1_Cell248","observed"
"C1_Cell249","observed"
"C1_Cell250","observed"
"C2_Cell1","observed"
"C2_Cell2","observed"
"C2_Cell3","observed"
"C2_Cell4","observed"
"C2_Cell5","observed"
"C2_Cell6","observed"
"C2_Cell7","observed"
"C2_Cell8","observed"
"C2_Cell9","observed"
"C2_Cell10","observed"
"C2_Cell11","observed"
"C2_Cell12","observed"
"C2_Cell13","observed"
"C2_Cell14","observed"
"C2_Cell15","observed"
"C2_Cell16","observed"
"C2_Cell17","observed"
"C2_Cell18","observed"
"C2_Cell19","observed"
"C2_Cell20","observed"
"C2_Cell21","observed"
"C2_Cell22","observed"
"C2_Cell23","observed"
"C2_Cell24","observed"
"C2_Cell25","observed"
"C2_Cell26","observed"
"C2_Cell27","observed"
"C2_Cell28","observed"
"C2_Cell29","observed"
"C2_Cell30","observed"
"C2_Cell31","observed"
"C2_Cell32","observed"
"C2_Cell33","observed"
"C2_Cell34","observed"
"C2_Cell35","observed"
"C2_Cell36","observed"
"C2_Cell37","observed"
"C2_Cell38","observed"
"C2_Cell39","observed"
"C2_Cell40","observed"
"C2_Cell41","observed"
"C2_Cell42","observed"
"C2_Cell43","observed"
"C2_Cell44","observed"
"C2_Cell45","observed"
"C2_Cell46","observed"
"C2_Cell47","observed"
"C2_Cell48","observed"
"C2_Cell49","observed"
"C2_Cell50","observed"
"C2_Cell51","observed"
"C2_Cell52","observed"
"C2_Cell53","observed"
"C2_Cell54","observed"
"C2_Cell55","observed"
"C2_Cell56","observed"
"C2_Cell57","observed"
"C2_Cell58","observed"
"C2_Cell59","observed"
"C2_Cell60","observed"
"C2_Cell61","observed"
"C2_Cell62","observed"
"C2_Cell63","observed"
"C2_Cell64","observed"
"C2_Cell65","observed"
"C2_Cell66","observed"
"C2_Cell67","observed"
"C2_Cell68","observed"
"C2_Cell69","observed"
"C2_Cell70","observed"
"C2_Cell71","observed"
"C2_Cell72","observed"
"C2_Cell73","observed"
"C2_Cell74","observed"
"C2_Cell75","observed"
"C2_Cell76","observed"
"C2_Cell77","observed"
"C2_Cell78","observed"
"C2_Cell79","observed"
"C2_Cell80","observed"
"C2_Cell81","observed"
"C2_Cell82","observed"
"C2_Cell83","observed"
"C2_Cell84","observed"
"C2_Cell85","observed"
"C2_Cell86","observed"
"C2_Cell87","observed"
"C2_Cell88","observed"
"C2_Cell89","observed"
"C2_Cell90","observed"
"C2_Cell91","observed"
"C2_Cell92","observed"
"C2_Cell93","observed"
"C2_Cell94","observed"
"C2_Cell95","observed"
"C2_Cell96","observed"
"C2_Cell97","observed"
"C2_Cell98","observed"
"C2_Cell99","observed"
"C2_Cell100","observed"
"C2_Cell101","observed"
"C2_Cell102","observed"
"C2_Cell103","observed"
"C2_Cell104","observed"
"C2_Cell105","observed"
"C2_Cell106","observed"
"C2_Cell107","observed"
"C2_Cell108","observed"
"C2_Cell109","observed"
"C2_Cell110","observed"
"C2_Cell111","observed"
"C2_Cell112","observed"
"C2_Cell113","observed"
"C2_Cell114","observed"
"C2_Cell115","observed"
"C2_Cell116","observed"
"C2_Cell117","observed"
"C2_Cell118","observed"
"C2_Cell119","observed"
"C2_Cell120","observed"
"C2_Cell121","observed"
"C2_Cell122","observed"
"C2_Cell123","observed"
"C2_Cell124","observed"
"C2_Cell125","observed"
"C2_Cell126","observed"
"C2_Cell127","observed"
"C2_Cell128","observed"
"C2_Cell129","observed"
"C2_Cell130","observed"
"C2_Cell131","observed"
"C2_Cell132","observed"
"C2_Cell133","observed"
"C2_Cell134","observed"
"C2_Cell135","observed"
"C2_Cell136","observed"
"C2_Cell137","observed"
"C2_Cell138","observed"
"C2_Cell139","observed"
"C2_Cell140","observed"
"C2_Cell141","observed"
"C2_Cell142","observed"
"C2_Cell143","observed"
"C2_Cell144","observed"
"C2_Cell145","observed"
"C2_Cell146","observed"
"C2_Cell147","observed"
"C2_Cell148","observed"
"C2_Cell149","observed"
"C2_Cell150","observed"
"C2_Cell151","observed"
"C2_Cell152","observed"
"C2_Cell153","observed"
"C2_Cell154","observed"
"C2_Cell155","observed"
"C2_Cell156","observed"
"C2_Cell157","observed"
"C2_Cell158","observed"
"C2_Cell159","observed"
"C2_Cell160","observed"
"C2_Cell161","observed"
"C2_Cell162","observed"
"C2_Cell163","observed"
"C2_Cell164","observed"
"C2_Cell165","observed"
"C2_Cell166","observed"
"C2_Cell167","observed"
"C2_Cell168","observed"
"C2_Cell169","observed"
"C2_Cell170","observed"
"C2_Cell171","observed"
"C2_Cell172","observed"
"C2_Cell173","observed"
"C2_Cell174","observed"
"C2_Cell175","observed"
"C2_Cell176","observed"
"C2_Cell177","observed"
"C2_Cell178","observed"
"C2_Cell179","observed"
"C2_Cell180","observed"
"C2_Cell181","observed"
"C2_Cell182","observed"
"C2_Cell183","observed"
"C2_Cell184","observed"
"C2_Cell185","observed"
"C2_Cell186","observed"
"C2_Cell187","observed"
"C2_Cell188","observed"
"C2_Cell189","observed"
"C2_Cell190","observed"
"C2_Cell191","observed"
"C2_Cell192","observed"
"C2_Cell193","observed"
"C2_Cell194","observed"
"C2_Cell195","observed"
"C2_Cell196","observed"
"C2_Cell197","observed"
"C2_Cell198","observed"
"C2_Cell199","observed"
"C2_Cell200","observed"
"C3_Cell1","observed"
"C3_Cell2","observed"
"C3_Cell3","observed"
"C3_Cell4","observed"
"C3_Cell5","observed"
"C3_Cell6","observed"
"C3_Cell7","observed"
"C3_Cell8","observed"
"C3_Cell9","observed"
"C3_Cell10","observed"
"C3_Cell11","observed"
"C3_Cell12","observed"
"C3_Cell13","observed"
"C3_Cell14","observed"
"C3_Cell15","observed"
"C3_Cell16","observed"
"C3_Cell17","observed"
"C3_Cell18","observed"
"C3_Cell19","observed"
"C3_Cell20","observed"
"C3_Cell21","observed"
"C3_Cell22","observed"
"C3_Cell23","observed"
"C3_Cell24","observed"
"C3_Cell25","observed"
"C3_Cell26","observed"
"C3_Cell27","observed"
"C3_Cell28","observed"
"C3_Cell29","observed"
"C3_Cell30","observed"
"C3_Cell31","observed"
"C3_Cell32","observed"
"C3_Cell33","observed"
"C3_Cell34","observed"
"C3_Cell35","observed"
"C3_Cell36","observed"
"C3_Cell37","observed"
"C3_Cell38","observed"
"C3_Cell39","observed"
"C3_Cell40","observed"
"C3_Cell41","observed"
"C3_Cell42","observed"
"C3_Cell43","observed"
"C3_Cell44","observed"
"C3_Cell45","observed"
"C3_Cell46","observed"
"C3_Cell47","observed"
"C3_Cell48","observed"
"C3_Cell49","observed"
"C3_Cell50","observed"
